Age,Income,Knowledge,Risk,Goal,Portfolio
75,1005565,Low,High,Short-Term Gain,Moderate
66,1109288,Low,Low,Wealth Growth,Moderate
77,1165206,Low,High,Short-Term Gain,Moderate
39,1157411,Low,Medium,Retirement,Moderate
41,393481,Low,Low,Short-Term Gain,Moderate
51,662785,Low,Medium,Retirement,Moderate
40,987360,Medium,High,Wealth Growth,Moderate
65,817260,Medium,Medium,Retirement,Moderate
60,1025516,Medium,High,Retirement,Moderate
23,1377032,Medium,Medium,Retirement,Moderate
28,1081943,Low,Medium,Wealth Growth,Moderate
74,666399,High,High,Wealth Growth,Aggressive
49,1133022,Low,Low,Short-Term Gain,Moderate
74,911429,Medium,High,Retirement,Moderate
21,863377,Medium,Medium,Wealth Growth,Moderate
34,749678,Low,Medium,Retirement,Moderate
48,857245,Low,Medium,Short-Term Gain,Moderate
28,803690,High,High,Short-Term Gain,Moderate
34,1344752,High,Low,Wealth Growth,Moderate
23,776776,High,Medium,Short-Term Gain,Moderate
65,1131136,Medium,Medium,Short-Term Gain,Moderate
79,1124383,High,Low,Retirement,Moderate
50,404259,Low,Low,Short-Term Gain,Moderate
69,752632,Medium,Low,Retirement,Moderate
34,636501,Low,Low,Retirement,Conservative
77,1339243,Medium,Low,Short-Term Gain,Moderate
59,785798,Low,High,Short-Term Gain,Moderate
68,586295,Low,Medium,Retirement,Moderate
23,532546,Medium,Low,Retirement,Moderate
34,544435,Medium,High,Retirement,Moderate
61,1048787,High,Medium,Wealth Growth,Aggressive
77,671532,High,High,Wealth Growth,Aggressive
67,331125,High,Medium,Wealth Growth,Aggressive
23,1103298,Medium,High,Retirement,Moderate
65,446712,Low,Low,Retirement,Conservative
55,1436920,Low,Low,Wealth Growth,Moderate
63,1154134,Medium,Medium,Retirement,Moderate
43,972188,Medium,Medium,Wealth Growth,Moderate
37,841342,Low,Low,Retirement,Conservative
39,1329802,Medium,High,Wealth Growth,Moderate
78,312884,Low,High,Short-Term Gain,Moderate
75,1114209,Low,Medium,Retirement,Moderate
68,747860,High,Low,Retirement,Moderate
24,1337516,Medium,Low,Retirement,Moderate
28,1240648,Medium,Medium,Short-Term Gain,Moderate
31,605049,High,High,Wealth Growth,Aggressive
30,1368534,Medium,High,Retirement,Moderate
62,1317066,High,High,Retirement,Moderate
77,1224174,Low,Low,Retirement,Conservative
58,961287,Low,High,Short-Term Gain,Moderate
29,533281,Medium,High,Retirement,Moderate
78,322477,Medium,Medium,Wealth Growth,Moderate
67,965508,High,High,Short-Term Gain,Moderate
47,360651,Low,Medium,Short-Term Gain,Moderate
29,549749,High,High,Retirement,Moderate
61,647821,High,Medium,Retirement,Moderate
41,781801,Medium,Medium,Retirement,Moderate
42,1407607,Medium,High,Wealth Growth,Moderate
21,866423,Low,Low,Wealth Growth,Moderate
44,607816,High,High,Short-Term Gain,Moderate
38,772647,High,Low,Retirement,Moderate
26,424851,High,Medium,Wealth Growth,Aggressive
30,1362584,High,Medium,Wealth Growth,Aggressive
62,394035,Medium,Low,Wealth Growth,Moderate
74,636900,Medium,Medium,Short-Term Gain,Moderate
57,976014,High,Medium,Retirement,Moderate
71,631512,Medium,Low,Retirement,Moderate
53,715709,High,Medium,Short-Term Gain,Moderate
37,938173,Low,Low,Wealth Growth,Moderate
71,1308068,High,Medium,Retirement,Moderate
23,738689,Medium,High,Retirement,Moderate
27,937711,Low,Medium,Short-Term Gain,Moderate
37,894406,Low,Low,Wealth Growth,Moderate
54,1448681,Low,Low,Retirement,Conservative
21,1075441,High,Medium,Short-Term Gain,Moderate
47,1461687,High,Low,Short-Term Gain,Moderate
40,913634,High,Medium,Retirement,Moderate
28,460627,Low,Medium,Retirement,Moderate
51,392807,Medium,Low,Short-Term Gain,Moderate
63,638894,High,Medium,Short-Term Gain,Moderate
55,482836,Low,Low,Short-Term Gain,Moderate
41,501080,Low,Medium,Short-Term Gain,Moderate
38,756077,Medium,Medium,Short-Term Gain,Moderate
39,822200,Low,Medium,Retirement,Moderate
39,1311321,Low,Low,Retirement,Conservative
56,1314768,High,Medium,Wealth Growth,Aggressive
40,711271,Low,High,Wealth Growth,Moderate
27,1484739,Medium,Low,Short-Term Gain,Moderate
80,1160076,High,Low,Retirement,Moderate
31,847450,High,Medium,Retirement,Moderate
21,738065,Low,High,Short-Term Gain,Moderate
59,1314521,Medium,Low,Retirement,Moderate
27,1266055,Medium,Low,Wealth Growth,Moderate
34,1371295,Medium,High,Short-Term Gain,Moderate
48,866554,Medium,High,Wealth Growth,Moderate
57,935279,Low,Medium,Wealth Growth,Moderate
80,469206,Low,Low,Retirement,Conservative
70,1278089,Low,High,Wealth Growth,Moderate
79,628755,Medium,High,Wealth Growth,Moderate
46,395416,Medium,Medium,Short-Term Gain,Moderate
24,1094768,Medium,Medium,Short-Term Gain,Moderate
68,928230,High,Low,Short-Term Gain,Moderate
44,738652,Medium,Low,Wealth Growth,Moderate
68,1018908,Medium,Medium,Short-Term Gain,Moderate
20,1331261,Low,Low,Retirement,Conservative
75,393333,Low,High,Wealth Growth,Moderate
59,1156641,Medium,Low,Retirement,Moderate
74,504209,Low,Medium,Wealth Growth,Moderate
45,1212614,Medium,High,Short-Term Gain,Moderate
55,1313442,Low,High,Wealth Growth,Moderate
63,1355383,Medium,Low,Wealth Growth,Moderate
63,800283,Low,High,Retirement,Moderate
44,760558,Medium,High,Short-Term Gain,Moderate
80,1433336,Low,Low,Wealth Growth,Moderate
32,660508,High,High,Wealth Growth,Aggressive
58,1403540,Low,Low,Wealth Growth,Moderate
21,1059085,High,High,Retirement,Moderate
72,973168,Medium,Low,Wealth Growth,Moderate
40,445494,High,Low,Short-Term Gain,Moderate
69,379781,High,Low,Short-Term Gain,Moderate
55,592943,High,High,Short-Term Gain,Moderate
68,747217,Low,Medium,Retirement,Moderate
25,615973,Medium,High,Short-Term Gain,Moderate
28,1391514,High,Medium,Wealth Growth,Aggressive
32,1375208,Low,Medium,Retirement,Moderate
77,930595,Low,High,Wealth Growth,Moderate
50,461072,Medium,Low,Short-Term Gain,Moderate
59,658273,High,High,Short-Term Gain,Moderate
57,711891,Low,Medium,Short-Term Gain,Moderate
60,1131686,Low,High,Wealth Growth,Moderate
40,1109890,High,Low,Short-Term Gain,Moderate
68,851311,High,Medium,Wealth Growth,Aggressive
68,527455,Medium,Low,Short-Term Gain,Moderate
53,1085605,Low,Medium,Short-Term Gain,Moderate
48,414976,High,High,Retirement,Moderate
55,1158591,Medium,Medium,Wealth Growth,Moderate
54,1455353,High,High,Wealth Growth,Aggressive
31,666389,Medium,High,Retirement,Moderate
39,975946,Medium,Medium,Retirement,Moderate
28,768730,Medium,Medium,Short-Term Gain,Moderate
69,1347769,High,Low,Short-Term Gain,Moderate
26,450286,Low,Low,Retirement,Conservative
63,1489599,High,Medium,Wealth Growth,Aggressive
49,1431457,High,Low,Retirement,Moderate
51,1074688,Low,High,Retirement,Moderate
68,664086,Medium,Low,Wealth Growth,Moderate
37,936793,High,Low,Short-Term Gain,Moderate
20,527916,High,Medium,Short-Term Gain,Moderate
51,919340,Low,Medium,Short-Term Gain,Moderate
62,1209383,High,Medium,Wealth Growth,Aggressive
63,863193,Low,Medium,Wealth Growth,Moderate
80,908080,High,Low,Wealth Growth,Moderate
40,804566,High,High,Retirement,Moderate
43,909984,Medium,High,Wealth Growth,Moderate
52,1388922,High,Medium,Wealth Growth,Aggressive
74,427883,Medium,High,Retirement,Moderate
58,716594,High,Low,Short-Term Gain,Moderate
26,423038,Low,High,Wealth Growth,Moderate
43,1184183,Low,Low,Retirement,Conservative
28,1256541,Medium,High,Retirement,Moderate
69,592397,Low,Low,Wealth Growth,Moderate
73,1216642,Medium,Medium,Short-Term Gain,Moderate
58,465927,Medium,High,Short-Term Gain,Moderate
53,1460754,Medium,High,Retirement,Moderate
33,994562,Medium,High,Retirement,Moderate
28,498906,High,Medium,Retirement,Moderate
50,1204970,High,Low,Retirement,Moderate
52,1370498,High,Low,Retirement,Moderate
34,1177696,High,Medium,Retirement,Moderate
25,1380471,Low,Medium,Short-Term Gain,Moderate
42,427406,Medium,Low,Short-Term Gain,Moderate
26,1089832,Low,Medium,Retirement,Moderate
27,691250,Low,Low,Short-Term Gain,Moderate
51,501022,Medium,High,Retirement,Moderate
54,469015,High,Low,Retirement,Moderate
24,1209049,Low,High,Retirement,Moderate
38,620331,High,Low,Retirement,Moderate
51,608861,High,Medium,Retirement,Moderate
37,1404507,Medium,High,Retirement,Moderate
71,966161,Low,Low,Retirement,Conservative
47,699765,High,Medium,Short-Term Gain,Moderate
71,790513,High,Low,Short-Term Gain,Moderate
61,623063,Low,High,Short-Term Gain,Moderate
22,672450,Medium,Medium,Wealth Growth,Moderate
48,1340381,Medium,Medium,Short-Term Gain,Moderate
39,664555,Medium,Low,Retirement,Moderate
43,700726,Low,High,Retirement,Moderate
80,812848,High,High,Retirement,Moderate
53,1301111,Medium,Low,Short-Term Gain,Moderate
35,1150351,Medium,High,Retirement,Moderate
33,1415566,High,Medium,Retirement,Moderate
52,1024474,Low,Medium,Retirement,Moderate
67,988018,Medium,High,Retirement,Moderate
56,1186867,Medium,Low,Retirement,Moderate
47,1324128,Medium,Medium,Wealth Growth,Moderate
68,1131347,Medium,High,Short-Term Gain,Moderate
52,1176670,High,High,Wealth Growth,Aggressive
44,890367,High,Medium,Short-Term Gain,Moderate
80,550357,High,High,Retirement,Moderate
20,1106290,Medium,High,Retirement,Moderate
37,1387789,Low,Medium,Retirement,Moderate
44,1123736,Medium,High,Retirement,Moderate
52,1296119,Low,Low,Wealth Growth,Moderate
31,407599,Low,Medium,Retirement,Moderate
41,1206851,Medium,High,Short-Term Gain,Moderate
35,1145844,Low,Medium,Retirement,Moderate
26,1374222,Medium,High,Wealth Growth,Moderate
39,1052298,Low,Low,Short-Term Gain,Moderate
21,1255743,Medium,Low,Short-Term Gain,Moderate
22,1300312,Medium,High,Wealth Growth,Moderate
30,1042911,Medium,Medium,Short-Term Gain,Moderate
27,1313361,High,Medium,Retirement,Moderate
23,1204992,Medium,Low,Retirement,Moderate
28,1101082,Medium,Low,Retirement,Moderate
57,774161,High,Medium,Wealth Growth,Aggressive
24,823204,Low,High,Short-Term Gain,Moderate
77,1057446,Medium,High,Retirement,Moderate
75,499475,Medium,Low,Wealth Growth,Moderate
73,1273666,Medium,Medium,Retirement,Moderate
24,310074,Low,Medium,Wealth Growth,Moderate
65,337764,Low,Low,Short-Term Gain,Moderate
34,502169,Medium,High,Wealth Growth,Moderate
40,1462527,Medium,Low,Wealth Growth,Moderate
58,1380503,Low,Medium,Retirement,Moderate
70,541356,Low,Low,Retirement,Conservative
42,756806,High,Low,Retirement,Moderate
45,360320,Medium,Low,Short-Term Gain,Moderate
55,868672,Low,Low,Retirement,Conservative
38,415425,Medium,Low,Wealth Growth,Moderate
38,762702,Low,Low,Retirement,Conservative
24,739444,High,Low,Retirement,Moderate
32,1421966,Low,Low,Wealth Growth,Moderate
21,519286,High,High,Short-Term Gain,Moderate
59,837812,Low,High,Wealth Growth,Moderate
75,541171,Medium,Low,Short-Term Gain,Moderate
79,608690,Medium,Medium,Wealth Growth,Moderate
31,1294607,Medium,High,Wealth Growth,Moderate
56,480689,High,High,Retirement,Moderate
20,433601,Low,Low,Retirement,Conservative
74,662381,Low,Medium,Short-Term Gain,Moderate
44,443044,High,Low,Wealth Growth,Moderate
54,837410,Medium,High,Wealth Growth,Moderate
80,1233073,Medium,Medium,Wealth Growth,Moderate
44,1469406,High,High,Retirement,Moderate
52,1371614,Medium,Medium,Wealth Growth,Moderate
69,920477,Medium,Medium,Short-Term Gain,Moderate
34,1260375,Medium,Medium,Retirement,Moderate
70,449627,High,High,Wealth Growth,Aggressive
50,326949,Medium,Medium,Wealth Growth,Moderate
75,1427308,Low,Medium,Retirement,Moderate
64,404878,Medium,High,Retirement,Moderate
29,500205,Medium,High,Wealth Growth,Moderate
47,348151,Medium,Low,Wealth Growth,Moderate
43,1449394,Low,High,Short-Term Gain,Moderate
26,432106,Medium,Medium,Short-Term Gain,Moderate
64,739792,Medium,High,Retirement,Moderate
66,1024889,Low,Medium,Wealth Growth,Moderate
70,1320799,Low,Medium,Short-Term Gain,Moderate
56,941254,Medium,Medium,Short-Term Gain,Moderate
56,428385,Medium,Low,Short-Term Gain,Moderate
63,1358535,High,Low,Wealth Growth,Moderate
45,934009,Low,Low,Wealth Growth,Moderate
30,1361194,Low,High,Wealth Growth,Moderate
31,1123857,High,Low,Retirement,Moderate
56,1329671,Medium,High,Short-Term Gain,Moderate
29,694105,High,High,Wealth Growth,Aggressive
71,1055583,Medium,Medium,Wealth Growth,Moderate
80,1464866,Low,Medium,Short-Term Gain,Moderate
42,765887,Low,Low,Wealth Growth,Moderate
59,1291545,Low,Medium,Short-Term Gain,Moderate
37,1076267,High,Medium,Short-Term Gain,Moderate
50,881764,Medium,Medium,Short-Term Gain,Moderate
74,1330711,Low,High,Short-Term Gain,Moderate
42,500799,High,High,Short-Term Gain,Moderate
41,531442,High,Medium,Wealth Growth,Aggressive
25,924467,Low,Medium,Short-Term Gain,Moderate
23,1329126,Low,High,Short-Term Gain,Moderate
71,757340,Medium,Medium,Wealth Growth,Moderate
49,398732,Medium,Low,Wealth Growth,Moderate
76,1216809,Low,Low,Wealth Growth,Moderate
33,441322,Medium,High,Short-Term Gain,Moderate
78,347004,Low,High,Wealth Growth,Moderate
60,498914,Medium,Low,Short-Term Gain,Moderate
40,1351121,Medium,High,Wealth Growth,Moderate
69,1440843,High,Low,Retirement,Moderate
24,1116051,High,Low,Wealth Growth,Moderate
60,743954,High,Low,Retirement,Moderate
57,349596,Medium,High,Wealth Growth,Moderate
44,1308637,Low,Medium,Short-Term Gain,Moderate
38,931613,Medium,High,Short-Term Gain,Moderate
29,338982,Low,High,Wealth Growth,Moderate
25,352917,High,Medium,Short-Term Gain,Moderate
64,1429098,Medium,High,Wealth Growth,Moderate
57,1368083,Low,Medium,Wealth Growth,Moderate
25,436330,High,Medium,Retirement,Moderate
31,1057741,Low,High,Wealth Growth,Moderate
74,869912,Medium,High,Retirement,Moderate
54,1145183,High,High,Retirement,Moderate
58,759846,Medium,Medium,Wealth Growth,Moderate
62,827430,High,High,Retirement,Moderate
59,1064368,High,Low,Wealth Growth,Moderate
57,908296,High,Low,Retirement,Moderate
45,417975,Low,Low,Wealth Growth,Moderate
24,1331740,Medium,High,Short-Term Gain,Moderate
30,411648,Low,High,Wealth Growth,Moderate
77,1354944,High,High,Wealth Growth,Aggressive
49,1401272,Medium,Medium,Wealth Growth,Moderate
51,1466900,Low,High,Wealth Growth,Moderate
60,1284364,Medium,Medium,Short-Term Gain,Moderate
25,1471313,High,Medium,Retirement,Moderate
44,826486,High,Low,Retirement,Moderate
75,785963,Low,High,Wealth Growth,Moderate
27,603440,Low,High,Retirement,Moderate
20,1497980,High,Medium,Wealth Growth,Aggressive
71,1049725,Medium,Low,Retirement,Moderate
55,487942,Low,High,Short-Term Gain,Moderate
27,1069705,High,High,Short-Term Gain,Moderate
25,1203056,Low,Medium,Retirement,Moderate
24,556584,High,Medium,Wealth Growth,Aggressive
27,970207,High,High,Short-Term Gain,Moderate
70,623018,Medium,Low,Short-Term Gain,Moderate
70,391150,High,Medium,Wealth Growth,Aggressive
52,482766,Low,Low,Short-Term Gain,Moderate
57,1486657,Medium,Medium,Wealth Growth,Moderate
25,954276,Low,High,Retirement,Moderate
45,954785,Low,High,Short-Term Gain,Moderate
68,357376,High,Low,Wealth Growth,Moderate
25,1162299,Low,Low,Short-Term Gain,Moderate
56,1153158,High,Low,Retirement,Moderate
33,474793,Low,Medium,Short-Term Gain,Moderate
32,694598,High,Medium,Short-Term Gain,Moderate
32,1311877,High,High,Short-Term Gain,Moderate
65,570001,Medium,Medium,Short-Term Gain,Moderate
26,893632,Low,High,Wealth Growth,Moderate
76,847406,Low,High,Short-Term Gain,Moderate
56,695010,Low,Medium,Wealth Growth,Moderate
68,1122583,High,Low,Short-Term Gain,Moderate
79,990988,High,Medium,Retirement,Moderate
64,624166,High,Low,Retirement,Moderate
54,1248357,High,Medium,Retirement,Moderate
40,526895,High,High,Retirement,Moderate
27,1218163,Medium,Medium,Wealth Growth,Moderate
46,652221,Medium,Medium,Retirement,Moderate
62,472321,Low,High,Retirement,Moderate
53,1311344,Low,High,Retirement,Moderate
39,1271826,High,Medium,Short-Term Gain,Moderate
40,1324479,Medium,High,Wealth Growth,Moderate
59,607623,High,Low,Wealth Growth,Moderate
78,513141,Low,Medium,Wealth Growth,Moderate
48,328509,High,Low,Wealth Growth,Moderate
80,695737,Low,Medium,Wealth Growth,Moderate
63,1121818,Medium,Low,Retirement,Moderate
78,1364017,Medium,High,Retirement,Moderate
42,1061459,Medium,Low,Short-Term Gain,Moderate
27,1205475,Medium,Medium,Short-Term Gain,Moderate
34,1366365,High,High,Wealth Growth,Aggressive
73,1280958,High,Medium,Short-Term Gain,Moderate
33,1459603,Medium,Medium,Short-Term Gain,Moderate
24,973252,Low,Medium,Wealth Growth,Moderate
34,1306886,Low,High,Wealth Growth,Moderate
61,1102989,Low,Medium,Short-Term Gain,Moderate
51,492955,Low,Medium,Retirement,Moderate
53,989330,Medium,Medium,Wealth Growth,Moderate
65,1402968,High,Medium,Short-Term Gain,Moderate
58,500015,Medium,Low,Short-Term Gain,Moderate
69,1313363,Low,Medium,Wealth Growth,Moderate
61,719663,Low,High,Retirement,Moderate
29,720409,High,High,Retirement,Moderate
35,984931,High,Medium,Retirement,Moderate
44,714109,High,Medium,Wealth Growth,Aggressive
50,871092,Low,High,Retirement,Moderate
54,1083218,Medium,Low,Short-Term Gain,Moderate
73,846636,Low,Medium,Retirement,Moderate
28,877439,High,High,Wealth Growth,Aggressive
72,1066503,Medium,Low,Short-Term Gain,Moderate
68,1038505,Low,Low,Short-Term Gain,Moderate
57,1088097,Low,Medium,Wealth Growth,Moderate
40,606076,High,High,Short-Term Gain,Moderate
79,1259537,Medium,Medium,Wealth Growth,Moderate
56,1469259,High,Medium,Short-Term Gain,Moderate
32,482261,Medium,Low,Retirement,Moderate
46,1392300,High,Medium,Wealth Growth,Aggressive
35,692235,Medium,Low,Retirement,Moderate
27,560411,Medium,Medium,Wealth Growth,Moderate
58,387740,Low,High,Retirement,Moderate
68,389367,High,High,Wealth Growth,Aggressive
46,1076994,Medium,High,Short-Term Gain,Moderate
68,806788,High,Medium,Short-Term Gain,Moderate
48,1452918,Low,Medium,Wealth Growth,Moderate
24,968630,Medium,Low,Wealth Growth,Moderate
74,1210971,Medium,High,Retirement,Moderate
62,827951,High,Medium,Retirement,Moderate
47,1395964,High,High,Short-Term Gain,Moderate
25,1094936,Medium,High,Short-Term Gain,Moderate
41,856274,Low,Low,Short-Term Gain,Moderate
20,721849,Medium,Low,Short-Term Gain,Moderate
44,909315,Medium,Low,Retirement,Moderate
62,1428410,High,Low,Short-Term Gain,Moderate
55,645831,Medium,Low,Wealth Growth,Moderate
74,1279021,Low,Low,Wealth Growth,Moderate
34,1236168,High,Low,Short-Term Gain,Moderate
22,1080045,Medium,Low,Short-Term Gain,Moderate
24,842537,High,Medium,Retirement,Moderate
60,1490633,High,Low,Retirement,Moderate
78,949942,High,Low,Retirement,Moderate
61,691862,Low,Low,Short-Term Gain,Moderate
72,828110,High,Low,Short-Term Gain,Moderate
38,930791,Medium,High,Short-Term Gain,Moderate
39,378056,Medium,Medium,Retirement,Moderate
58,1185538,Low,High,Wealth Growth,Moderate
50,1067103,Low,High,Short-Term Gain,Moderate
73,1492598,Medium,High,Wealth Growth,Moderate
43,728108,Medium,Medium,Wealth Growth,Moderate
55,722292,High,Medium,Short-Term Gain,Moderate
80,367539,High,Low,Retirement,Moderate
73,630775,High,Medium,Wealth Growth,Aggressive
76,448734,Low,Low,Wealth Growth,Moderate
35,1276146,Medium,High,Short-Term Gain,Moderate
40,1150948,High,High,Wealth Growth,Aggressive
47,1460000,Medium,Medium,Wealth Growth,Moderate
79,1110695,Low,High,Retirement,Moderate
48,713320,High,Medium,Short-Term Gain,Moderate
25,459270,High,Low,Short-Term Gain,Moderate
42,701416,Low,Medium,Wealth Growth,Moderate
49,688122,Medium,Medium,Retirement,Moderate
23,371418,High,Low,Wealth Growth,Moderate
57,1134107,High,Low,Short-Term Gain,Moderate
28,389235,High,Medium,Short-Term Gain,Moderate
61,865056,High,Low,Short-Term Gain,Moderate
57,524701,Low,Medium,Retirement,Moderate
32,363596,Medium,High,Wealth Growth,Moderate
74,313718,Low,Medium,Wealth Growth,Moderate
37,1146481,High,High,Retirement,Moderate
27,967765,Low,High,Short-Term Gain,Moderate
53,1092157,High,Medium,Retirement,Moderate
38,1098513,Low,Medium,Short-Term Gain,Moderate
59,974452,Low,Medium,Short-Term Gain,Moderate
26,936793,Medium,Medium,Wealth Growth,Moderate
53,664254,Medium,Low,Retirement,Moderate
72,841370,High,Medium,Retirement,Moderate
60,1313684,Medium,High,Wealth Growth,Moderate
75,358277,High,High,Retirement,Moderate
67,423022,Medium,High,Wealth Growth,Moderate
61,541935,High,Low,Short-Term Gain,Moderate
70,818795,High,Low,Short-Term Gain,Moderate
33,1254145,High,Low,Short-Term Gain,Moderate
65,883135,Low,Low,Retirement,Conservative
25,431858,Medium,High,Wealth Growth,Moderate
66,726608,Low,High,Short-Term Gain,Moderate
57,351117,Low,High,Wealth Growth,Moderate
50,800954,Medium,Medium,Retirement,Moderate
34,1315093,Low,Low,Retirement,Conservative
80,760713,High,High,Wealth Growth,Aggressive
79,981132,Medium,Medium,Wealth Growth,Moderate
68,682377,High,High,Retirement,Moderate
65,1378450,Medium,Medium,Retirement,Moderate
63,382740,Medium,High,Wealth Growth,Moderate
53,1107613,Low,Low,Short-Term Gain,Moderate
25,314102,Low,High,Short-Term Gain,Moderate
22,1083620,Medium,High,Retirement,Moderate
57,1300814,Low,High,Wealth Growth,Moderate
46,1434900,Low,High,Short-Term Gain,Moderate
50,841337,Medium,High,Short-Term Gain,Moderate
64,380710,High,Low,Short-Term Gain,Moderate
56,693967,Low,Medium,Short-Term Gain,Moderate
62,1441560,High,High,Retirement,Moderate
69,711484,High,High,Retirement,Moderate
22,861934,Medium,High,Wealth Growth,Moderate
77,1191676,High,Low,Wealth Growth,Moderate
58,1228053,Medium,Medium,Retirement,Moderate
74,999274,Medium,Low,Wealth Growth,Moderate
78,700349,Low,Medium,Wealth Growth,Moderate
74,1429064,High,High,Short-Term Gain,Moderate
27,1144540,Low,High,Short-Term Gain,Moderate
78,1312747,Low,Medium,Retirement,Moderate
69,308756,Medium,Low,Wealth Growth,Moderate
23,1125095,Medium,Low,Retirement,Moderate
49,1475344,High,Low,Wealth Growth,Moderate
27,532984,Medium,Medium,Wealth Growth,Moderate
32,613932,High,Medium,Retirement,Moderate
35,1249400,Medium,High,Retirement,Moderate
35,1479564,Low,Medium,Retirement,Moderate
78,1235290,Low,High,Retirement,Moderate
40,842723,High,Medium,Short-Term Gain,Moderate
25,1370356,Medium,Low,Wealth Growth,Moderate
68,1002511,High,High,Short-Term Gain,Moderate
73,680780,High,High,Short-Term Gain,Moderate
67,995665,Medium,Low,Short-Term Gain,Moderate
62,842139,Low,High,Wealth Growth,Moderate
61,345342,Medium,High,Retirement,Moderate
65,1309859,Low,Low,Retirement,Conservative
44,505597,High,Low,Wealth Growth,Moderate
63,627971,Low,Medium,Wealth Growth,Moderate
22,340148,High,Medium,Short-Term Gain,Moderate
74,480165,Medium,High,Wealth Growth,Moderate
35,347818,Medium,Medium,Wealth Growth,Moderate
71,335402,High,Low,Short-Term Gain,Moderate
61,480762,Medium,Medium,Short-Term Gain,Moderate
64,986013,High,Low,Wealth Growth,Moderate
57,1037177,High,High,Retirement,Moderate
39,929891,Low,Medium,Retirement,Moderate
44,790188,Low,Medium,Short-Term Gain,Moderate
42,622813,Medium,Low,Wealth Growth,Moderate
34,418791,Low,Low,Retirement,Conservative
35,1388460,High,Medium,Retirement,Moderate
47,436455,Medium,Low,Short-Term Gain,Moderate
33,877969,High,High,Retirement,Moderate
69,1104809,Medium,Medium,Wealth Growth,Moderate
74,851899,Low,Low,Wealth Growth,Moderate
20,583828,High,Medium,Retirement,Moderate
30,1221545,High,High,Retirement,Moderate
34,1315222,High,High,Retirement,Moderate
38,409824,Low,High,Short-Term Gain,Moderate
78,1176788,Low,Low,Retirement,Conservative
33,471818,High,Medium,Wealth Growth,Aggressive
53,818149,Medium,Medium,Short-Term Gain,Moderate
58,1363779,Medium,Medium,Wealth Growth,Moderate
34,473977,Medium,Medium,Short-Term Gain,Moderate
29,366855,Low,Low,Retirement,Conservative
24,1353996,Low,Medium,Retirement,Moderate
76,1128044,High,Low,Short-Term Gain,Moderate
48,465363,Low,High,Wealth Growth,Moderate
30,971194,Low,Low,Wealth Growth,Moderate
26,1275089,High,Medium,Short-Term Gain,Moderate
78,1256350,High,High,Short-Term Gain,Moderate
72,1037151,Low,Medium,Retirement,Moderate
61,492711,Medium,High,Retirement,Moderate
60,660130,Low,Low,Retirement,Conservative
22,1286959,High,High,Wealth Growth,Aggressive
25,902124,Medium,Medium,Retirement,Moderate
59,1076635,High,Medium,Short-Term Gain,Moderate
57,1418209,Low,Medium,Short-Term Gain,Moderate
79,433227,Low,Low,Short-Term Gain,Moderate
22,1109204,Low,Medium,Retirement,Moderate
73,652835,Medium,High,Short-Term Gain,Moderate
31,1370697,Low,Medium,Retirement,Moderate
45,1098790,High,High,Wealth Growth,Aggressive
80,769660,High,Medium,Retirement,Moderate
40,810745,High,Low,Retirement,Moderate
36,1333515,High,Medium,Wealth Growth,Aggressive
31,1051981,Low,Medium,Retirement,Moderate
46,1357514,Low,Medium,Wealth Growth,Moderate
38,1043389,Medium,Medium,Wealth Growth,Moderate
73,781485,High,High,Short-Term Gain,Moderate
64,649355,High,High,Retirement,Moderate
48,1097785,Medium,High,Wealth Growth,Moderate
33,1444783,Low,High,Retirement,Moderate
41,1405064,High,Medium,Retirement,Moderate
55,737377,Low,High,Short-Term Gain,Moderate
47,948893,High,Medium,Retirement,Moderate
69,1426679,Medium,Medium,Wealth Growth,Moderate
34,681588,Medium,Low,Retirement,Moderate
56,799187,High,Low,Wealth Growth,Moderate
24,970501,High,Low,Short-Term Gain,Moderate
80,963146,Low,High,Retirement,Moderate
31,1228542,Low,Medium,Wealth Growth,Moderate
38,870418,Low,High,Wealth Growth,Moderate
51,1405886,High,Medium,Short-Term Gain,Moderate
78,909855,High,Medium,Short-Term Gain,Moderate
40,1477476,High,High,Short-Term Gain,Moderate
70,1377580,Low,Low,Retirement,Conservative
52,1490787,Medium,Medium,Short-Term Gain,Moderate
62,322317,Low,Medium,Short-Term Gain,Moderate
33,371710,Low,Medium,Wealth Growth,Moderate
38,921273,Low,Medium,Short-Term Gain,Moderate
40,889671,High,High,Short-Term Gain,Moderate
39,379266,High,Medium,Retirement,Moderate
24,1071524,Low,Low,Short-Term Gain,Moderate
63,811987,Low,High,Short-Term Gain,Moderate
23,1473467,Medium,High,Short-Term Gain,Moderate
63,1347760,Medium,Medium,Short-Term Gain,Moderate
24,1219378,Medium,Medium,Wealth Growth,Moderate
76,1027644,Medium,Low,Short-Term Gain,Moderate
53,962758,High,Low,Wealth Growth,Moderate
41,996082,Low,Medium,Short-Term Gain,Moderate
21,1098447,High,Medium,Wealth Growth,Aggressive
72,1023029,Low,Low,Retirement,Conservative
37,350280,Medium,Medium,Retirement,Moderate
26,1254468,Medium,Low,Wealth Growth,Moderate
79,727264,High,High,Short-Term Gain,Moderate
42,1191820,Low,High,Wealth Growth,Moderate
59,466669,Low,Low,Short-Term Gain,Moderate
61,495200,Medium,Low,Short-Term Gain,Moderate
79,1487942,High,Medium,Wealth Growth,Aggressive
22,1447552,High,Medium,Wealth Growth,Aggressive
